run_key,true,pred,cas,hitk,cos_to_cn,cos_to_mci,cos_to_ad
Ours (Atlas+AnatDist)__seed153__fold0,0,0,0.273910,0.200000,0.960199,0.962297,0.966060
Ours (Atlas+AnatDist)__seed153__fold0,0,1,0.253745,0.200000,0.961842,0.959985,0.926518
Ours (Atlas+AnatDist)__seed153__fold0,1,2,0.371055,0.400000,0.783921,0.787437,0.828022
Ours (Atlas+AnatDist)__seed153__fold0,1,1,0.263356,0.000000,0.987419,0.987915,0.976375
Ours (Atlas+AnatDist)__seed153__fold0,1,1,0.267502,0.000000,0.972392,0.973248,0.968892
Ours (Atlas+AnatDist)__seed153__fold0,0,1,0.289577,0.400000,0.985948,0.987762,0.994446
Ours (Atlas+AnatDist)__seed153__fold0,1,0,0.259576,0.200000,0.957722,0.958836,0.954521
Ours (Atlas+AnatDist)__seed153__fold0,1,1,0.258495,0.200000,0.962709,0.961325,0.923560
Ours (Atlas+AnatDist)__seed153__fold0,0,0,0.275399,0.400000,0.974625,0.974367,0.955967
Ours (Atlas+AnatDist)__seed153__fold0,2,2,0.439906,0.400000,0.642165,0.646694,0.693591
Ours (Atlas+AnatDist)__seed153__fold0,2,0,0.265885,0.200000,0.950353,0.952229,0.954630
Ours (Atlas+AnatDist)__seed153__fold0,1,1,0.279869,0.400000,0.990992,0.992481,0.993831
Ours (Atlas+AnatDist)__seed153__fold0,1,1,0.274222,0.000000,0.993660,0.994539,0.989080
Ours (Atlas+AnatDist)__seed153__fold0,2,1,0.288298,0.400000,0.987091,0.988636,0.990726
Ours (Atlas+AnatDist)__seed153__fold0,2,1,0.274340,0.200000,0.991692,0.992671,0.984183
Ours (Atlas+AnatDist)__seed153__fold0,2,1,0.292559,0.400000,0.977927,0.979790,0.987632
Ours (Atlas+AnatDist)__seed153__fold0,1,1,0.265310,0.200000,0.982687,0.982711,0.966947
Ours (Atlas+AnatDist)__seed153__fold0,1,0,0.306055,0.200000,0.979222,0.981205,0.985227
Ours (Atlas+AnatDist)__seed153__fold0,1,2,0.395143,0.400000,0.762234,0.765600,0.807119
Ours (Atlas+AnatDist)__seed153__fold0,2,1,0.272979,0.200000,0.993219,0.993985,0.985408
Ours (Atlas+AnatDist)__seed153__fold0,1,1,0.272268,0.200000,0.987660,0.987903,0.971833
Ours (Atlas+AnatDist)__seed153__fold0,1,1,0.271560,0.200000,0.989922,0.990319,0.978425
Ours (Atlas+AnatDist)__seed153__fold0,0,1,0.281222,0.200000,0.989879,0.991623,0.994917
Ours (Atlas+AnatDist)__seed153__fold0,0,0,0.263601,0.200000,0.960578,0.961446,0.954933
Ours (Atlas+AnatDist)__seed153__fold0,2,2,0.398030,0.400000,0.705175,0.709660,0.755674
Ours (Atlas+AnatDist)__seed153__fold0,1,1,0.256630,0.200000,0.968098,0.967602,0.943215
Ours (Atlas+AnatDist)__seed153__fold0,1,1,0.281262,0.400000,0.991423,0.992614,0.991205
Ours (Atlas+AnatDist)__seed153__fold0,0,0,0.270004,0.200000,0.970200,0.971930,0.966869
Ours (Atlas+AnatDist)__seed153__fold0,1,1,0.245797,0.000000,0.971493,0.970455,0.941807
Ours (Atlas+AnatDist)__seed153__fold0,0,1,0.296935,0.400000,0.956605,0.959405,0.977724
Ours (Atlas+AnatDist)__seed153__fold0,1,1,0.281564,0.200000,0.981998,0.984100,0.991388
Ours (Atlas+AnatDist)__seed153__fold0,0,1,0.249100,0.200000,0.939283,0.939448,0.918335
Ours (Atlas+AnatDist)__seed153__fold0,0,0,0.270436,0.400000,0.972107,0.974190,0.970266
Ours (Atlas+AnatDist)__seed153__fold0,2,2,0.283689,0.400000,0.876722,0.877886,0.886247
Ours (Atlas+AnatDist)__seed153__fold0,0,0,0.278871,0.400000,0.963419,0.964879,0.963349
Ours (Atlas+AnatDist)__seed153__fold0,1,1,0.264229,0.200000,0.972369,0.972110,0.946805
Ours (Atlas+AnatDist)__seed153__fold0,1,2,0.323710,0.400000,0.820291,0.824686,0.863353
Ours (Atlas+AnatDist)__seed153__fold0,1,1,0.280607,0.000000,0.993189,0.993598,0.984258
Ours (Atlas+AnatDist)__seed153__fold0,0,0,0.265115,0.400000,0.963908,0.963338,0.943767
Ours (Atlas+AnatDist)__seed153__fold0,0,0,0.273375,0.400000,0.937859,0.938648,0.936367
Ours (Atlas+AnatDist)__seed153__fold0,0,1,0.306443,0.400000,0.980676,0.982574,0.988168
Ours (Atlas+AnatDist)__seed153__fold0,1,1,0.290409,0.200000,0.920799,0.924314,0.948511
Ours (Atlas+AnatDist)__seed153__fold0,1,1,0.262036,0.200000,0.965159,0.965241,0.945530
Ours (Atlas+AnatDist)__seed153__fold0,1,0,0.252543,0.000000,0.960408,0.960384,0.943583
Ours (Atlas+AnatDist)__seed153__fold0,0,0,0.280514,0.200000,0.962035,0.965276,0.970877
Ours (Atlas+AnatDist)__seed153__fold0,2,1,0.267097,0.200000,0.988600,0.988484,0.971092
Ours (Atlas+AnatDist)__seed153__fold0,1,1,0.259576,0.200000,0.962439,0.961759,0.932241
Ours (Atlas+AnatDist)__seed153__fold0,1,1,0.290759,0.400000,0.975000,0.977082,0.987155
Ours (Atlas+AnatDist)__seed153__fold0,1,1,0.283163,0.200000,0.988013,0.989613,0.988406
Ours (Atlas+AnatDist)__seed153__fold0,0,0,0.273709,0.400000,0.974869,0.975372,0.963045
Ours (Atlas+AnatDist)__seed153__fold1,1,0,0.276912,0.200000,0.991702,0.993400,0.991200
Ours (Atlas+AnatDist)__seed153__fold1,0,0,0.263679,0.200000,0.983538,0.984081,0.967317
Ours (Atlas+AnatDist)__seed153__fold1,0,2,0.276399,0.000000,0.988807,0.990924,0.996435
Ours (Atlas+AnatDist)__seed153__fold1,1,0,0.271224,0.200000,0.978269,0.978836,0.963983
Ours (Atlas+AnatDist)__seed153__fold1,0,0,0.265315,0.200000,0.981929,0.983134,0.970593
Ours (Atlas+AnatDist)__seed153__fold1,0,0,0.273821,0.200000,0.986445,0.987167,0.974500
Ours (Atlas+AnatDist)__seed153__fold1,2,2,0.289556,0.400000,0.987410,0.989232,0.996857
Ours (Atlas+AnatDist)__seed153__fold1,0,0,0.268985,0.200000,0.984215,0.984978,0.971453
Ours (Atlas+AnatDist)__seed153__fold1,2,1,0.281399,0.200000,0.992018,0.993887,0.994292
Ours (Atlas+AnatDist)__seed153__fold1,1,1,0.282715,0.200000,0.987095,0.989024,0.988618
Ours (Atlas+AnatDist)__seed153__fold1,0,0,0.279317,0.200000,0.982911,0.984170,0.978733
Ours (Atlas+AnatDist)__seed153__fold1,1,1,0.271745,0.200000,0.986062,0.987714,0.980071
Ours (Atlas+AnatDist)__seed153__fold1,1,1,0.271428,0.000000,0.988521,0.989866,0.982345
Ours (Atlas+AnatDist)__seed153__fold1,1,1,0.281615,0.200000,0.992843,0.994347,0.990635
Ours (Atlas+AnatDist)__seed153__fold1,2,2,0.283945,0.400000,0.988116,0.990051,0.997224
Ours (Atlas+AnatDist)__seed153__fold1,1,1,0.275872,0.200000,0.988791,0.990212,0.981646
Ours (Atlas+AnatDist)__seed153__fold1,1,1,0.266937,0.000000,0.985586,0.986988,0.978075
Ours (Atlas+AnatDist)__seed153__fold1,2,2,0.278066,0.000000,0.990103,0.992244,0.997041
Ours (Atlas+AnatDist)__seed153__fold1,1,0,0.269586,0.200000,0.987949,0.988972,0.978388
Ours (Atlas+AnatDist)__seed153__fold1,0,0,0.262935,0.200000,0.983722,0.984771,0.972065
Ours (Atlas+AnatDist)__seed153__fold1,1,1,0.277474,0.200000,0.992538,0.994227,0.992857
Ours (Atlas+AnatDist)__seed153__fold1,0,0,0.270835,0.200000,0.981032,0.982167,0.972105
Ours (Atlas+AnatDist)__seed153__fold1,1,1,0.286721,0.400000,0.984064,0.986456,0.991670
Ours (Atlas+AnatDist)__seed153__fold1,1,0,0.265030,0.200000,0.978715,0.979419,0.963903
Ours (Atlas+AnatDist)__seed153__fold1,1,2,0.283632,0.400000,0.989910,0.991996,0.997926
Ours (Atlas+AnatDist)__seed153__fold1,1,1,0.270782,0.200000,0.990122,0.991179,0.980875
Ours (Atlas+AnatDist)__seed153__fold1,1,2,0.279052,0.000000,0.990770,0.992881,0.997130
Ours (Atlas+AnatDist)__seed153__fold1,1,2,0.282913,0.200000,0.989987,0.992103,0.997759
Ours (Atlas+AnatDist)__seed153__fold1,2,2,0.285006,0.400000,0.988639,0.990787,0.997679
Ours (Atlas+AnatDist)__seed153__fold1,1,2,0.283112,0.200000,0.990310,0.992471,0.997081
Ours (Atlas+AnatDist)__seed153__fold1,1,1,0.280184,0.200000,0.991885,0.993792,0.994259
Ours (Atlas+AnatDist)__seed153__fold1,0,2,0.279731,0.200000,0.989908,0.991997,0.997224
