variant,kind,aibl_n,aibl_acc,aibl_bacc,aibl_auc,aibl_ad_vs_cn_auc,aibl_recall_CN,aibl_recall_MCI,aibl_recall_AD,aibl_ad_to_cn_errors,ixi_cn_retention,ixi_false_impairment,oasis_bacc_stress,aibl_ece,aibl_brier,aibl_nll,notes
Best single base model,single,216,0.8657407407407407,0.7555715889049223,0.9453945074154276,0.993987493987494,0.9545454545454546,0.5714285714285714,0.7407407407407407,2,0.9965576592082617,0.0034423407917383297,0.3104156704390486,0.12168453611913525,0.21050440778264704,0.4160108597168261,Selected by tuning score: atlas+bio HGB
Arithmetic mean ensemble,ensemble,216,0.8657407407407407,0.7114157447490781,0.9510048615464344,0.9971139971139971,0.9935064935064936,0.4,0.7407407407407407,3,1.0,0.0,0.3333333333333333,0.11247160497001304,0.20542572395164319,0.39999762925279325,Equal arithmetic probability averaging.
Equal log-pooling,ensemble,216,0.8333333333333334,0.6475709475709476,0.9535992102859213,0.9973544973544973,0.9935064935064936,0.17142857142857143,0.7777777777777778,5,1.0,0.0,0.3333333333333333,0.09421556011130958,0.21570847693569128,0.39990333004069595,"Equal log-probability pooling, no offsets, T=1."
Final weights only,ablation,216,0.9027777777777778,0.8153278819945488,0.9545845234057982,0.9990379990379991,0.974025974025974,0.6571428571428571,0.8148148148148148,0,1.0,0.0,0.3333333333333333,0.13572754893868633,0.1794171786671525,0.36577460967622416,"Final non-negative weights, no offsets, T=1."
Weights + offsets,ablation,216,0.8981481481481481,0.8233445566778901,0.9257868204251082,0.9995189995189995,0.961038961038961,0.6571428571428571,0.8518518518518519,0,1.0,0.0,0.3104156704390486,0.2189539780164053,0.2353183921324782,0.4751548883094285,"Final weights and class offsets, T=1."
Weights + temperature,ablation,216,0.9027777777777778,0.8153278819945488,0.954178290823791,0.9990379990379991,0.974025974025974,0.6571428571428571,0.8148148148148148,0,1.0,0.0,0.3333333333333333,0.05153361595286189,0.1524036033385382,0.2983257520200909,"Final weights and temperature, no class offsets."
Full RC-SPE (scan-level),final_scan,397,0.906801007556675,0.8096505923026726,0.9397222600745178,0.9975851243660951,0.9636963696369637,0.660377358490566,0.8048780487804879,0,1.0,0.0,0.3335281511786479,0.0809963097449817,0.15564590200260547,0.3182110287330016,Final pooling evaluated at scan level.
Full RC-SPE (majority vote),aggregation,216,0.8981481481481481,0.8103415103415103,0.8701632030649548,1.0,0.9675324675324676,0.6857142857142857,0.7777777777777778,0,1.0,0.0,0.3335281511786479,0.09891975308641973,0.1991872427983539,2.57926033328195,Subject-level majority vote after scan predictions.
Full RC-SPE (subject-level),final_subject,216,0.9027777777777778,0.8328683662016996,0.9370749291955652,0.9995189995189995,0.961038961038961,0.6857142857142857,0.8518518518518519,0,1.0,0.0,0.3335281511786479,0.077795186766807,0.1601451789605104,0.3199962481390627,Locked final method: probability averaging at subject level.
MCI-rescue profile,risk_profile,216,0.8981481481481481,0.8109507776174443,0.9515422186731409,0.9980759980759981,0.9545454545454546,0.8857142857142857,0.5925925925925926,0,0.9586919104991394,0.04130808950086062,0.3670368205727645,0.15550067491124508,0.215786774067885,0.4206689091434367,High-MCI-recall profile for risk-tradeoff analysis; not selected as final.
AD-rescue profile,risk_profile,216,0.8472222222222222,0.6976110309443643,0.9298323751883889,0.9990379990379991,0.987012987012987,0.14285714285714285,0.9629629629629629,0,1.0,0.0,0.3276836158192091,0.2929888975239156,0.31469437169945463,0.6096579715706066,High-AD-recall profile for risk-tradeoff analysis; not selected as final.
